A=2226 B=6295 C=6826 X=286223694 Y=6076194814 Z=16713636120 M=128
A=5577 B=7629 C=7885 X=752208902 Y=1900772669 Z=25520510635 M=164
A=8717 B=7599 C=6276 X=156007749 Y=8418795780 Z=11200680252 M=73
A=2639 B=8224 C=8852 X=357650490 Y=2680549012 Z=63788257965 M=62
A=5526 B=9057 C=7291 X=896617842 Y=4651029977 Z=75813842821 M=82
A=7522 B=5594 C=7482 X=324186815 Y=3064012014 Z=16289922914 M=68
A=6005 B=3717 C=8932 X=773491949 Y=5803727266 Z=43715389102 M=97
A=5646 B=5252 C=7715 X=433989733 Y=9085103610 Z=85761232507 M=101
A=8204 B=8665 C=9306 X=496427919 Y=6513897564 Z=76408250158 M=118
A=2245 B=9734 C=5057 X=144365824 Y=1551619347 Z=78073239245 M=121
A=2849 B=7814 C=8799 X=157070465 Y=4432270728 Z=46925593176 M=123
A=2779 B=9135 C=8283 X=988457580 Y=8633106668 Z=29067101585 M=52
A=4775 B=4357 C=9207 X=313304976 Y=7579401765 Z=52525672860 M=84
A=5201 B=7981 C=6181 X=384853575 Y=5199632194 Z=67994022660 M=146
A=7257 B=5340 C=5802 X=223286644 Y=6336258826 Z=29765488192 M=116
A=5759 B=6932 C=6704 X=237278087 Y=7418854911 Z=83436804222 M=113
A=8203 B=7494 C=8538 X=602769668 Y=5650024152 Z=11796076653 M=161
A=3902 B=4588 C=7213 X=585059927 Y=5838163837 Z=30601975890 M=99
A=9353 B=7678 C=7884 X=817162169 Y=6695673749 Z=63181576253 M=191
A=8915 B=8043 C=5152 X=749541540 Y=4088508620 Z=56164228230 M=62
A=9537 B=3635 C=7793 X=827381729 Y=9970373484 Z=13299314236 M=144
A=3950 B=8699 C=7043 X=596275569 Y=8854942870 Z=31149319838 M=132
A=8415 B=7278 C=5828 X=626213867 Y=9777500798 Z=80940748208 M=52
A=6141 B=3925 C=9872 X=620397265 Y=4847962768 Z=39472888180 M=181
A=7379 B=8464 C=6946 X=796639248 Y=2673859324 Z=77293137089 M=53
A=3939 B=8190 C=5499 X=961339469 Y=4301366510 Z=29898191729 M=121
A=2772 B=3495 C=5457 X=969592472 Y=1568639697 Z=24822396692 M=150
A=9810 B=9960 C=7409 X=193038822 Y=7774245018 Z=76194964637 M=190
A=4053 B=8727 C=5029 X=504548048 Y=8601824776 Z=69954162620 M=56
A=3415 B=6421 C=7437 X=200057967 Y=1388219237 Z=56741325083 M=108
A=2592 B=9320 C=8366 X=235234534 Y=4586865518 Z=31727507503 M=169
A=6115 B=9373 C=6964 X=427428291 Y=7280696723 Z=56970579670 M=110
A=5660 B=5844 C=5730 X=203589050 Y=1598656303 Z=28282057353 M=71
A=6244 B=7773 C=5441 X=499705469 Y=3371180374 Z=91632675226 M=94
A=7244 B=9344 C=6881 X=638126790 Y=9782349821 Z=21260681140 M=197
A=8853 B=7143 C=5252 X=792548455 Y=7279419744 Z=74082287395 M=135
A=3055 B=8505 C=7468 X=347819488 Y=8564093307 Z=70392854619 M=166
A=7118 B=5679 C=9243 X=647355111 Y=7387529346 Z=32452920106 M=145
A=4476 B=7666 C=7739 X=895764637 Y=9396824512 Z=75347457134 M=108
A=3008 B=3783 C=9493 X=258465078 Y=2201317193 Z=79486329203 M=110
A=3855 B=5246 C=7322 X=829239546 Y=9989359842 Z=56976716055 M=132
A=9342 B=4062 C=8015 X=198155495 Y=5828244141 Z=98273114260 M=150
A=3315 B=5968 C=7598 X=205594177 Y=5135941850 Z=96246118109 M=147
A=4043 B=8280 C=5287 X=992684231 Y=5416224421 Z=21664215167 M=155
A=2773 B=5877 C=9831 X=432588942 Y=8743605532 Z=50674073859 M=56
A=6060 B=4856 C=6932 X=554410571 Y=1952820313 Z=14692612746 M=120
A=5700 B=3358 C=6475 X=187419725 Y=1145975706 Z=63929916113 M=182
A=5226 B=5388 C=9829 X=994819976 Y=2133609138 Z=88675482916 M=85
A=8992 B=9322 C=9241 X=478904521 Y=8765631571 Z=26996303919 M=115
A=3080 B=7321 C=9486 X=243494537 Y=6273139765 Z=16376528126 M=140
A=8761 B=3261 C=7581 X=258714359 Y=1358824697 Z=28500629526 M=159
A=3994 B=4529 C=7629 X=426245711 Y=8597641587 Z=60202528556 M=154
